subject	count_trial	count_subj	Global_trial_num	run_num	trial_time	resp_key	resp_time	trial_type	acc	currCity	priorCity	trialList	respList	curVidNav	tmn
S1_A	1	1	1	0	0.01563197	nan	0	null	0	2	99	>,>,>	,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_1.txt	m
S1_A	2	1	2	0	25.04238	s	38.03113	s	1	2	2	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_1.txt	m
S1_A	3	1	3	0	50.06909	d	60.42307	d	1	1	2	<,<,<	l,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_0.txt	t
S1_A	4	1	4	0	75.07886	d	89.88437	s	0	1	1	<,>,<	l,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_1.txt	t
S1_A	5	1	5	0	100.1054	s	109.1424	d	0	2	1	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_2.txt	m
S1_A	6	1	6	0	125.1321	s	133.4518	s	1	2	2	>,>,>	r,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_3.txt	m
S1_A	7	1	7	0	150.1589	d	157.5447	s	0	2	2	<,>,<	l,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_4.txt	m
S1_A	8	1	8	0	175.1687	d	187.4736	d	1	3	2	>,<,<	r,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_0.txt	n
S1_A	9	1	9	0	200.1954	d	215.3178	d	1	2	3	>,<,>	r,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_5.txt	m
S1_A	10	1	10	0	225.2219	s	232.7082	s	1	2	2	<,>,>	l,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_1/Position/position_6.txt	m
S1_A	11	1	11	0	250.2487	d	254.9334	d	1	3	2	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_1.txt	n
S1_A	12	1	12	0	275.2583	s	278.4263	s	1	3	3	>,<,<	r,l,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_2.txt	n
S1_A	13	1	13	0	300.2854	s	310.7233	s	1	3	3	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_3.txt	n
S1_A	14	1	14	0	325.3124	s	343.903	s	1	3	3	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_4.txt	n
S1_A	15	1	15	0	350.3392	d	355.908	d	1	1	3	<,>,<	l,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_2.txt	t
S1_A	16	1	16	0	375.3492	s	388.2877	s	1	1	1	>,>,>	r,r,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_3.txt	t
S1_A	17	1	17	0	400.3759	s	414.0979	d	0	3	1	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_2/Position/position_5.txt	n
S1_A	18	1	18	0	425.4028	s	444.5268	d	0	1	3	>,>,<	r,r,l	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_4.txt	t
S1_A	19	1	19	0	450.4293	s	466.1856	s	1	1	1	<,<,>	l,l,r	NavClipsFinalCutRand/GR_st9_5000_3c_0/Position/position_5.txt	t
