"ID_INDIV","GENDER","DAY","pa_gral","na_gral","V1RelSat"
3211,"female",9,2.6,1.3,5
3211,"female",10,3.4,1.2,5
3211,"female",11,2.9,1,5
3211,"female",12,2.4,1.8,5
3211,"female",13,2.4,1.6,5
3211,"female",14,2.4,2.5,5
3211,"female",15,2.4,2.3,5
3211,"female",16,3,1.9,5
3211,"female",17,2.9,1.5,5
3211,"female",18,2.4,1.1,5
3211,"female",19,3,2,5
3211,"female",20,2.8,2,5
3211,"female",21,2.1,1.2,5
3211,"female",22,3,1.4,5
3211,"female",23,2.6,1.7,5
3211,"female",24,3.3,1.2,5
3211,"female",25,2.5,1.2,5
3211,"female",26,3.2,1.6,5
3211,"female",27,3.6,1.6,5
3211,"female",28,2.6,1.7,5
3211,"female",29,3.1,1.7,5
3211,"female",30,2.4,1.8,5
3211,"female",31,3.6,1.6,5
3211,"female",32,3.5,1.2,5
3211,"female",33,2.9,1.5,5
3211,"female",34,1.5,2.6,5
3211,"female",35,3.2,2.5,5
3211,"female",36,2.7,1.7,5
3211,"female",37,3.4,2.1,5
3211,"female",38,2.4,1.4,5
3211,"female",39,2.1,1.4,5
3211,"female",40,2.8,1.5,5
3211,"female",41,2.2,2.5,5
3211,"female",42,3,1.6,5
3211,"female",43,2.6,1.3,5
3211,"female",44,3.3,1.7,5
3211,"female",45,2.8,2,5
3211,"female",46,3.8,1.2,5
3211,"female",47,3,1.3,5
3211,"female",48,2.8,1.2,5
3211,"female",50,2.5,1.3,5
3211,"female",51,2,1.2,5
3211,"female",52,2.8,1.4,5
3211,"female",53,2.7,1.4,5
3211,"female",54,3.4,1.4,5
3211,"female",55,3.1,1.4,5
3211,"female",56,2.7,1.4,5
3211,"female",57,2.3,1.2,5
3221,"male",1,3,2.2,5.66666666666667
3221,"male",2,3,2.6,5.66666666666667
3221,"male",3,2.6,2.3,5.66666666666667
3221,"male",4,2.4,2,5.66666666666667
3221,"male",5,2,2.4,5.66666666666667
3221,"male",6,2.4,2.1,5.66666666666667
3221,"male",7,2.7,2.5,5.66666666666667
3221,"male",8,2.5,2.4,5.66666666666667
3221,"male",9,1.7,2.1,5.66666666666667
3221,"male",10,2.1,2.2,5.66666666666667
3221,"male",11,2.4,2.5,5.66666666666667
3221,"male",12,2.5,2.2,5.66666666666667
3221,"male",13,2.2,2.2,5.66666666666667
3221,"male",14,2.3,2.1,5.66666666666667
3221,"male",15,2.3,2.5,5.66666666666667
3222,"female",1,1.6,2,6.5
3222,"female",2,1.1,2.6,6.5
3222,"female",3,1.8,1.3,6.5
3222,"female",4,1.9,2,6.5
3222,"female",5,1.6,1.1,6.5
3222,"female",6,1.5,1.3,6.5
3222,"female",7,1.1,1.5,6.5
3222,"female",8,1.4,2.6,6.5
3222,"female",9,3,2.1,6.5
3222,"female",10,2.2,1.2,6.5
3222,"female",11,1.1,1.4,6.5
3222,"female",12,1,1.7,6.5
3222,"female",13,1,2.1,6.5
3222,"female",14,1,1.9,6.5
3231,"male",1,2.4,1.9,4.33333333333333
3231,"male",2,1.4,1.5,4.33333333333333
3231,"male",3,1,1.1,4.33333333333333
3231,"male",4,1.5,1.5,4.33333333333333
3231,"male",5,1.6,1.1,4.33333333333333
3231,"male",6,1.4,1,4.33333333333333
3231,"male",9,1.6,1,4.33333333333333
3231,"male",10,2.8,1.1,4.33333333333333
3231,"male",11,1.6,1.1,4.33333333333333
3231,"male",12,1.3,1,4.33333333333333
3231,"male",13,1.3,1,4.33333333333333
3231,"male",14,1,1,4.33333333333333
3231,"male",15,2,1,4.33333333333333
3231,"male",16,1.7,1,4.33333333333333
3231,"male",17,1,1.5,4.33333333333333
3231,"male",18,1,1,4.33333333333333
