"sex" "earnings" "weight" "height"
"m" 5000 210 74
"f" 6000 125 66
"f" 3000 126 64
"f" 5100 190 63
"f" 900 125 64
"f" 2900 200 62
"m" 3200 230 73
"m" 200 176 72
"m" 2700 160 72
"m" 653 225 70
"m" 3000 170 68
"m" 1200 144 68
"f" 1200 250 65
"f" 2200 130 66
"m" 1700 172 68
"f" 4000 135 68
"m" 4400 180 70
"f" 700 240 64
"m" 5300 190 73
"f" 500 120 62
"f" 1400 114 63
"m" 550 166 67
"f" 4000 124 66
"m" 3400 175 72
"f" 1000 184 63
"f" 2700 150 64
"m" 5000 180 72
"m" 4100 255 77
"f" 1500 130 64
"m" 7500 185 72
"m" 2700 180 68
"f" 1200 135 64
"f" 750 138 61
"f" 3000 135 67
"f" 2100 150 65
"f" 2700 120 64
"f" 300 130 67
"f" 2500 170 65
"f" 2400 140 65
"f" 3200 145 67
"f" 1000 145 68
"f" 1100 100 60
"f" 1870 105 65
"f" 2000 120 62
"m" 350 160 72
"m" 1300 206 67
"m" 2500 170 70
"m" 2100 183 70
"f" 3400 150 68
"f" 600 120 60
"m" 1700 195 71
"m" 3500 140 71
"f" 1400 150 68
"f" 1000 118 66
"m" 2500 155 69
"f" 1600 130 63
"m" 1600 130 62
"f" 1650 116 64
"f" 400 190 64
"f" 384 342 67
"m" 2200 200 71
"f" 20 135 60
"f" 2600 140 66
"f" 250 120 66
"f" 1700 125 65
"f" 1 112 63
"f" 800 130 70
"f" 1200 138 66
"f" 1000 123 62
"f" 1000 140 66
"m" 1500 185 72
"f" 240 115 67
"m" 3000 150 68
"m" 3000 150 70
"f" 1000 125 62
"f" 500 137 63
"f" 1200 125 66
"f" 2000 80 70
"f" 2000 160 68
"m" 2000 160 70
"f" 120 135 66
"f" 70 120 68
"m" 2000 150 70
"f" 1000 110 61
"f" 3000 128 63
"m" 2500 155 67
"f" 1 135 68
"f" 1000 130 61
"f" 6000 132 69
"f" 1800 130 68
"f" 1604 155 64
"f" 1500 140 67
"m" 1000 160 69
"f" 3300 185 67
"f" 1800 130 68
"f" 1500 105 63
"m" 2100 145 71
"f" 2100 124 64
"m" 3700 170 68
"f" 3800 126 68
"f" 1700 142 66
"f" 1 130 66
"f" 1 100 60
"m" 3200 210 77
"f" 2750 160 67
"f" 1650 120 62
"f" 2500 150 67
"f" 2700 116 61
"f" 500 220 64
"f" 7000 125 62
"f" 500 150 63
"m" 500 135 68
"f" 2000 158 64
"m" 400 185 72
"f" 6000 130 64
"f" 500 150 61
"m" 3000 230 74
"m" 7000 165 70
"m" 5000 195 71
"f" 4400 120 63
"f" 3000 133 64
"f" 1000 140 62
"f" 2300 170 70
"m" 4500 175 71
"m" 1500 170 71
"f" 400 169 70
"m" 1700 160 67
"f" 3000 130 64
"f" 568 140 62
"f" 1800 137 62
"m" 4300 185 68
"f" 3200 140 62
"f" 1 118 62
"f" 1000 165 68
"m" 6000 185 74
"m" 1 190 68
"f" 2100 150 68
"f" 240 110 62
"f" 1 150 62
"f" 100 136 66
"m" 2700 170 68
"f" 660 115 60
"m" 1600 164 68
"f" 800 185 66
"m" 2000 150 68
"f" 1500 130 68
"f" 1200 180 69
"f" 2400 128 64
"f" 2000 175 65
"f" 1900 128 61
"m" 2500 160 68
"m" 2500 150 70
"m" 2500 165 71
"m" 1900 209 71
"m" 4400 210 68
"f" 1500 105 60
"f" 1700 137 63
"m" 2400 150 68
"f" 2300 170 64
"m" 1300 143 70
"m" 6500 180 68
"f" 700 135 61
"m" 4000 180 68
"f" 1500 145 66
"m" 2000 164 70
"m" 2000 175 71
"f" 2000 195 65
"f" 2500 150 66
"m" 4900 195 70
"f" 2500 158 62
"f" 1100 128 66
"f" 1600 160 61
"m" 3500 145 72
"m" 12500 240 74
"f" 2300 185 67
"f" 1700 170 66
"f" 2700 115 62
"m" 7000 180 72
"f" 1000 150 60
"f" 3500 135 62
"f" 1500 130 66
"f" 1200 250 64
"m" 800 135 71
"f" 800 130 65
"m" 3500 225 73
"m" 4500 175 69
"f" 1500 123 64
"f" 1500 136 61
"f" 2400 240 67
"f" 2500 189 62
"f" 2500 165 63
"f" 2400 140 68
"m" 4400 165 72
"m" 6900 187 70
"m" 6200 188 70
"m" 3200 170 67
"f" 2000 125 63
"f" 3200 112 66
"f" 2500 135 66
"m" 17000 185 71
"m" 3500 170 67
"m" 4000 194 76
"m" 3300 155 69
"f" 1800 145 65
"f" 3000 120 62
"f" 2600 112 62
"f" 500 120 62
"f" 2000 130 62
"f" 1700 105 61
"f" 3200 138 65
"m" 1500 170 72
"m" 5000 248 72
"f" 800 138 64
"m" 4000 190 71
"m" 4000 185 72
"m" 3275 130 66
"f" 2000 185 65
"f" 3600 128 65
"f" 600 170 62
"f" 1200 160 66
"m" 6000 150 67
"f" 4000 135 64
"f" 4300 117 63
"f" 4500 150 67
"f" 600 190 68
"f" 800 154 64
"m" 1700 165 66
"f" 200 112 65
"m" 6500 180 65
"m" 5000 180 72
"f" 1100 140 68
"m" 3500 190 74
"m" 2700 185 63
"f" 350 135 64
"m" 4200 180 68
"f" 2000 130 67
"f" 1500 125 67
"m" 1000 207 73
"m" 600 176 70
"f" 1700 200 65
"m" 3500 148 69
"m" 2800 203 77
"f" 1500 165 68
"f" 2000 110 62
"f" 2000 128 64
"m" 1050 150 67
"m" 1300 165 70
"f" 300 170 63
"f" 2400 116 62
"f" 1700 160 69
